user,item,estimated_rating
1,318,3.5983156457002923
1,899,3.587180587914893
1,3462,3.574937897465405
1,3730,3.5454489618391505
1,969,3.5416062006994626
1,1197,3.536577176532356
1,923,3.523287476896649
1,922,3.5094586328026875
1,904,3.5083586393130406
1,905,3.500216799268805
1,1203,3.4982104979241404
1,913,3.496732507982861
1,1136,3.47167057637355
1,1217,3.471289101016148
1,527,3.4710043431476274
1,1148,3.4657059175706855
1,2186,3.4654772813403514
1,1276,3.463855507832334
1,3435,3.45863795446542
1,903,3.455225477098804
1,8132,3.4531199607436545
1,1221,3.4525308970231117
1,2571,3.444362972423993
1,1252,3.442275321312234
1,76093,3.4414720116257405
1,50,3.441134722867335
1,1089,3.440084205785131
1,7502,3.4365359886518494
1,1147,3.428563656495819
1,2064,3.4283511673771754
1,1228,3.4099758961447373
1,2028,3.4069525112427455
1,920,3.4004242152344535
1,2324,3.394625349236813
1,1283,3.384762302281511
1,1207,3.3813766242201737
1,48516,3.381162861749185
1,1945,3.380757883509165
1,593,3.378465643240875
1,926,3.377209080496275
2,1221,4.487894058140702
2,926,4.420491275547911
2,2318,4.414895691407524
2,58559,4.350582016196039
2,1217,4.3463954710759864
2,33166,4.331025014256928
2,969,4.324903845414414
2,318,4.316796808602597
2,1203,4.308643956828268
2,293,4.304035644461922
2,1254,4.296846793836608
2,858,4.284518388974514
2,800,4.270675947133803
2,31658,4.266028440397002
2,1247,4.257953707846451
2,968,4.245461890801817
2,534,4.243635714639819
2,106920,4.234150674612306
2,78499,4.233182877794147
2,2231,4.22964068700465
2,1276,4.228391256611502
2,2917,4.227432481175142
2,1304,4.221142535445685
2,116797,4.218460623024287
2,307,4.212408193541969
2,308,4.207690149111592
2,1060,4.205351412779677
2,7502,4.199983599420166
2,3462,4.199840620823199
2,1939,4.196991144331959
2,953,4.194683040318772
2,6016,4.192647131031434
2,1240,4.192535815482263
2,1961,4.19002891026212
2,5995,4.186752514154428
2,2571,4.18570827366484
2,1948,4.185135577868008
2,4226,4.181051484942714
2,778,4.180915903320725
2,920,4.179255621722904
3,969,4.3559914796248504
3,1172,4.328326737498843
3,858,4.322096079116406
3,1147,4.300928218989651
3,899,4.287132528340888
3,1221,4.280658364451725
3,31658,4.236790550019082
3,1304,4.234387518285987
3,1254,4.218610543427938
3,2692,4.217814480464633
3,2019,4.206714050507916
3,48516,4.176315755901499
3,501,4.175835843409375
3,49530,4.163933906265133
3,922,4.162536904727247
3,908,4.1398212922588815
3,1089,4.139065606103008
3,745,4.137678313058732
3,1280,4.136011561910711
3,1233,4.135294124237302
3,1272,4.135210410980541
3,2542,4.131333176764062
3,913,4.129388930468377
3,3462,4.128191327494113
3,109374,4.123784481316885
3,306,4.119794472458589
3,1952,4.1166937859451425
3,2064,4.1156175638532115
3,898,4.114375212384393
3,928,4.105238009971139
3,194,4.104314446784625
3,994,4.102504517332411
3,1196,4.102337818052198
3,76093,4.095496833323235
3,8132,4.0878777332008935
3,4235,4.083188105622832
3,232,4.080504235116968
3,56782,4.08004751371526
3,968,4.078970007694433
3,1220,4.075691623053406
4,1947,5.0
4,56782,5.0
4,2973,5.0
4,968,5.0
4,3462,5.0
4,912,5.0
4,1035,5.0
4,908,5.0
4,1172,5.0
4,1204,5.0
4,953,5.0
4,3671,5.0
4,50,5.0
4,951,5.0
4,6787,5.0
4,1228,5.0
4,3362,5.0
4,3683,5.0
4,926,5.0
4,111,5.0
4,5995,5.0
4,2762,5.0
4,608,5.0
4,905,5.0
4,1252,5.0
4,969,5.0
4,720,5.0
4,318,5.0
4,6016,4.997531956611002
4,4011,4.996298887208255
4,1283,4.995454658701673
4,116,4.9934482043438555
4,593,4.992477016604113
4,4641,4.990633786731231
4,5618,4.981364977035399
4,1217,4.979604612280671
4,1223,4.976624907127271
4,1199,4.968252984177311
4,1060,4.965230802069948
4,515,4.965186717265677
5,969,4.7711068786259005
5,2542,4.7560069637829105
5,1172,4.732008477686743
5,1219,4.724452799993157
5,905,4.702498516333897
5,260,4.690525939467434
5,1228,4.683511086785071
5,1304,4.675011958910817
5,2132,4.649700726013011
5,1276,4.644656166178453
5,1196,4.642484891131291
5,899,4.635667870402447
5,1096,4.615195210604068
5,926,4.609628626546945
5,912,4.608220671352479
5,4011,4.58667515936956
5,3462,4.578539535373395
5,2329,4.574971993058604
5,3030,4.5719962445183
5,97304,4.5674070038290875
5,1197,4.565442738226766
5,106920,4.563071683683387
5,922,4.561687162926124
5,1204,4.560218591800623
5,1198,4.556606397139888
5,2064,4.556356647092176
5,1136,4.555240515960041
5,55820,4.5546421605575285
5,3683,4.553384299542977
5,1299,4.548720633701571
5,2300,4.541238571648302
5,40815,4.53863820449515
5,116797,4.524647027541431
5,48516,4.5234115957071745
5,904,4.522037120705268
5,1963,4.5165676951406
5,3037,4.516365951105246
5,7502,4.514139596205436
5,46578,4.512475201849288
5,3468,4.511012411423255
6,4993,4.35945226657413
6,318,4.229036931083543
6,905,4.16847998332325
6,1945,4.12770614274445
6,858,4.111578323931102
6,1217,4.085523966424137
6,3683,4.082876804481085
6,2542,4.075212521231999
6,1203,4.064760849280682
6,2324,4.062431487109359
6,47,4.044193158325841
6,7502,4.043712750242838
6,1248,4.041153630997274
6,969,4.0341696612018225
6,1207,4.021654141266488
6,2357,4.007934065873313
6,1172,4.002886473497531
6,1299,3.9989827239005153
6,296,3.995659003714179
6,926,3.9937979686686247
6,1221,3.9853357679585577
6,50,3.9762690348831984
6,922,3.9545834514394653
6,6016,3.953275068694604
6,1237,3.942407979024607
6,2208,3.934476879032177
6,1254,3.932486004895334
6,1060,3.92961601703605
6,1732,3.9277620180706134
6,913,3.927478256894166
6,88125,3.9274618005367965
6,1960,3.925639529182819
6,54881,3.9225871454476007
6,1089,3.914586481003842
6,5114,3.9108761080607075
6,1178,3.910583789314884
6,2917,3.9081087164252244
6,581,3.904872439369014
6,4235,3.9022518437811993
6,93040,3.9019354940143094
7,1217,4.4265282343735874
7,858,4.409315896217747
7,1221,4.293869620984768
7,926,4.291564789914309
7,296,4.242087881837526
7,913,4.2269336111804225
7,903,4.197169354320826
7,1089,4.1862012050210975
7,898,4.182836709580837
7,50,4.173796908082274
7,2318,4.161114319306697
7,912,4.154573481484812
7,2300,4.1539652649032295
7,953,4.1448520891140515
7,4235,4.130184852049376
7,922,4.1238498061757705
7,515,4.123626039719615
7,923,4.12220624334586
7,76093,4.116315432475726
7,1212,4.115530957845867
7,741,4.113831743502926
7,969,4.107795767554664
7,2064,4.105881621228352
7,7502,4.10403706388662
7,3462,4.102109204384162
7,1208,4.101130006123143
7,4103,4.093116396238992
7,56782,4.0921009010699265
7,96821,4.090162955248559
7,1299,4.0872850444287945
7,1201,4.086299575076553
7,2019,4.083981006884723
7,1060,4.0809257537856265
7,778,4.080347291980893
7,111,4.078560166942903
7,194,4.076532436775786
7,3683,4.070161516758208
7,86882,4.0616147501906195
7,1304,4.06117708614324
7,1305,4.060810473081828
8,1148,4.5266763149384905
8,994,4.501207757185979
8,608,4.43806232958093
8,969,4.4241750304482315
8,745,4.419195026016975
8,905,4.399534798684478
8,1945,4.38570304355031
8,1228,4.382949042893246
8,2064,4.379020222506763
8,778,4.377965026917826
8,923,4.374859220450609
8,1089,4.372069575992056
8,246,4.371236282863011
8,1252,4.354835916827482
8,68237,4.35278981970704
8,306,4.350462274627624
8,1217,4.342054359068398
8,1221,4.339263177576851
8,3435,4.324177450928299
8,111,4.321697141388823
8,1299,4.303404045263709
8,1223,4.3006105220280535
8,1060,4.2997222372493225
8,908,4.299078921572033
8,1136,4.2810827359434445
8,2542,4.277096139577419
8,373,4.273287517270836
8,3035,4.272228462399934
8,2318,4.2715030864461925
8,916,4.2714645711004895
8,5971,4.269860830294345
8,1212,4.266426639789743
8,3468,4.265580089513117
8,1254,4.2637955180157965
8,750,4.25870022650834
8,6350,4.255244174818599
8,7502,4.251360001083565
8,1222,4.249770173674208
8,899,4.24902294379757
8,4427,4.247694329634238
9,905,4.57495091141111
9,1219,4.499316234594329
9,541,4.49755807924365
9,926,4.4724572011293064
9,908,4.431979412533955
9,1252,4.414192090408466
9,2064,4.4131115149344975
9,246,4.406816730343294
9,1148,4.398165845220314
9,5971,4.395577806516136
9,969,4.382340740235314
9,899,4.372042497356729
9,56782,4.368486349444596
9,745,4.362530539846549
9,1212,4.361998831152135
9,2542,4.358919308206818
9,904,4.334368583214634
9,1299,4.316457857537931
9,3468,4.31603609416051
9,912,4.308639537746119
9,2318,4.302335027307828
9,58,4.300402578705516
9,954,4.293170988737071
9,1172,4.2906321390528275
9,3030,4.290218316662396
9,720,4.289367182532034
9,26729,4.284368520362905
9,3362,4.26926826487314
9,111,4.268136527125131
9,778,4.267439247899438
9,1278,4.264739546996817
9,3983,4.2630381719303125
9,232,4.261836044426988
9,58559,4.250515307408892
9,2019,4.248918337235795
9,3683,4.245192618568912
9,4103,4.243915944878536
9,3730,4.239774193135676
9,501,4.239556827694633
9,4226,4.238860769915988
10,969,4.63985122336775
10,899,4.596524748607548
10,7502,4.525450165456025
10,926,4.5215839937957245
10,1172,4.5080683250508935
10,1276,4.473893609408558
10,2804,4.473491111795012
10,1945,4.473464938362272
10,1960,4.4643890298330415
10,905,4.464177054783422
10,106920,4.456017193967159
10,2064,4.448006433305895
10,232,4.446723674950062
10,3730,4.441923016027872
10,78499,4.425808481748249
10,1224,4.4180115507202276
10,475,4.40592091504803
10,2132,4.395089095408772
10,1060,4.391669145852399
10,1212,4.389696697068492
10,913,4.385202017491565
10,1252,4.38218251255455
10,1217,4.3807308316378775
10,1288,4.378998781731424
10,1203,4.374677986129985
10,293,4.374624960416844
10,3462,4.3712610103108265
10,2971,4.363675700698785
10,2917,4.362767448285985
10,246,4.362561473380009
10,1192,4.355955573610901
10,922,4.355668019014805
10,1228,4.355199431019199
10,307,4.351106131345997
10,1292,4.347861326703509
10,908,4.34588769701294
10,1207,4.344220383721535
10,68237,4.343034367611472
10,898,4.3388948299659775
10,69844,4.328146771436297
11,260,4.929577898474977
11,905,4.922708402272528
11,1196,4.922416732359162
11,926,4.908699633916975
11,1276,4.90671825298494
11,904,4.902670996844009
11,858,4.901761155544944
11,527,4.894486418029854
11,922,4.884710514017453
11,2019,4.881561071603326
11,1304,4.880984617646524
11,1136,4.842970328337746
11,969,4.836376706191005
11,899,4.831656140989297
11,1219,4.816610477866596
11,608,4.786759572823439
11,88125,4.7847112301871295
11,541,4.774603621902978
11,1147,4.774366355542012
11,1221,4.77047136250447
11,913,4.7655274139785435
11,1247,4.762908401984056
11,116797,4.752750827875535
11,4011,4.752099982288366
11,898,4.746262073581886
11,2692,4.734558330373086
11,318,4.73383854733445
11,56782,4.731850789230206
11,5225,4.72103886166595
11,994,4.714663038179136
11,750,4.699030969698383
11,1228,4.6970927481156375
11,1939,4.688409982750731
11,1948,4.684927680626099
11,4235,4.682595562140905
11,1197,4.682367384553018
11,2318,4.682161662724736
11,1223,4.681970602568147
11,2064,4.6797426882916175
11,111,4.679618420602271
12,745,3.853265555887317
12,1221,3.769013546113596
12,1411,3.7525373883955315
12,534,3.7491760657917803
12,2232,3.747901003110112
12,7502,3.7416162349732027
12,926,3.7415367413550027
12,2858,3.740234979129371
12,1237,3.734769877139136
12,905,3.726435137661062
12,2571,3.7115914999621844
12,16,3.710649903707358
12,1254,3.7072088048962266
12,3469,3.7041936421331823
12,1214,3.7011561227683414
12,3462,3.689322925951859
12,1223,3.680624346850232
12,1243,3.679213527291254
12,54286,3.6790000077435976
12,58559,3.6738741820403855
12,1089,3.672668326026443
12,908,3.6538585768240344
12,8132,3.647781199404504
12,2318,3.6415461598548706
12,3730,3.6347836434193552
12,800,3.6253773310951187
12,1939,3.6225362906773277
12,89745,3.621088120823104
12,1260,3.6169138277634114
12,1219,3.5949383623473574
12,293,3.593360991981904
12,912,3.5875587615590443
12,2542,3.585608581085816
12,953,3.584984702433006
12,142488,3.571377605573209
12,3089,3.5636720435715006
12,26662,3.5622420951029796
12,920,3.5620072181986697
12,116,3.5617386353970297
12,1228,3.559026428108002
13,858,4.508940761708269
13,50,4.418339568100995
13,923,4.4165517790839175
13,969,4.383058158740339
13,2300,4.356808578069389
13,76093,4.356376903773392
13,1221,4.341594319342847
13,69481,4.331109756725739
13,1945,4.3289812061279385
13,6016,4.328397212007191
13,5114,4.324871877463635
13,1254,4.315583129176502
13,3462,4.310187310486429
13,1198,4.308342864274035
13,905,4.304586182895845
13,1212,4.30349934709496
13,2019,4.292019693857884
13,8132,4.291316885397722
13,3730,4.286700142800142
13,3088,4.284710471180547
13,2359,4.284032120462334
13,1203,4.281708040045429
13,2318,4.2725921641054
13,31658,4.2711683803466345
13,50068,4.267582600122052
13,953,4.267158393032019
13,2289,4.258655972671392
13,2329,4.257528954852846
13,3468,4.256337317133317
13,3030,4.251306074485324
13,922,4.247384131452137
13,926,4.2455264554683225
13,44665,4.244102382472641
13,1204,4.239759744879074
13,260,4.239243271287011
13,994,4.236161614900549
13,1193,4.23602426988108
13,162,4.234960599984435
13,2690,4.234831543160607
13,745,4.233978088390447
14,858,4.260256840493993
14,1221,4.15253549764584
14,1204,4.152271449485626
14,905,4.1334216505312416
14,318,4.133098287492734
14,745,4.130917323778191
14,923,4.125156975820713
14,904,4.124527190058813
14,50,4.116498228952969
14,908,4.115124010626875
14,2318,4.104323687654785
14,111,4.101936472248181
14,1228,4.08736670254589
14,969,4.050147580687348
14,7502,4.033118136949815
14,913,4.024916689804653
14,307,4.009665244033994
14,2542,3.9931870687251236
14,4226,3.9873935347685787
14,1089,3.986456163653887
14,926,3.9806338515392787
14,1172,3.976322442782059
14,898,3.971915651476295
14,1203,3.9717895179447966
14,1945,3.970111640566231
14,1219,3.9695142922650275
14,1299,3.9559957868985722
14,2324,3.949901537653193
14,608,3.9460788496636527
14,2303,3.9422602563952256
14,1217,3.9402037290041108
14,1304,3.934302473220821
14,3683,3.9294925365541693
14,1207,3.9210874627957373
14,106920,3.914243871416943
14,64839,3.9139659315000372
14,1178,3.9058115139103715
14,390,3.9054279514235186
14,2858,3.9041833529864096
14,903,3.9014621900952116
15,5971,4.106990016792103
15,933,3.8717052980550086
15,26524,3.782455188844183
15,1057,3.7747584684609876
15,2203,3.7610197873518953
15,4893,3.707860121742144
15,363,3.6996957718241528
15,4326,3.6446070837147406
15,3469,3.587479729767776
15,26313,3.5789493600278353
15,7845,3.5644824855020723
15,3703,3.563469303758411
15,3454,3.5627426374082116
15,7139,3.5595855931666156
15,8477,3.5166445308714076
15,4349,3.5133699110582874
15,3811,3.497841551176299
15,7492,3.49331179761995
15,678,3.490838051184528
15,1104,3.4695970177230797
15,6452,3.461050693570419
15,1103,3.454128088811149
15,127728,3.449150947792213
15,4691,3.4437129238486266
15,6612,3.442233887474545
15,27592,3.4378496625791435
15,4920,3.435366380092233
15,3035,3.4177952472999182
15,4552,3.4107054907039855
15,1692,3.407543661118509
15,114552,3.403329387386288
15,5398,3.400736657034473
15,6033,3.3872738536717946
15,7068,3.3720144777581496
15,26258,3.3687584349861313
15,73587,3.36780711278461
15,4537,3.3663937924630387
15,28,3.3615636484171048
15,5613,3.3571746616449207
15,5569,3.346748371123076
16,1203,4.870031965346418
16,969,4.840409199261288
16,905,4.7825281123628525
16,7502,4.7531409337873685
16,923,4.750248994460975
16,922,4.748011685335749
16,926,4.731709422287789
16,106920,4.727462841721905
16,1254,4.726539268821761
16,2571,4.723657607570977
16,778,4.718545053494889
16,4235,4.718337106307215
16,308,4.715647682537629
16,908,4.715509630029881
16,162,4.7106041155283
16,608,4.7105580939839236
16,296,4.709002944024533
16,858,4.708324004221655
16,306,4.70661133365789
16,5952,4.70347321261944
16,1247,4.699937081519991
16,3683,4.699723782315276
16,1172,4.691777593861705
16,913,4.691168351842907
16,1945,4.690493458184092
16,1196,4.688923146937967
16,1212,4.684798686023536
16,903,4.681365787688981
16,1228,4.681063207925261
16,2064,4.6644682350537146
16,5971,4.664036916110691
16,112852,4.657971530943501
16,246,4.65286580797423
16,6787,4.652399726795445
16,2019,4.648325164424164
16,3730,4.639491619087875
16,1136,4.639179048220641
16,1299,4.630597220966278
16,1204,4.628784321883019
16,904,4.628065484008135
17,7502,5.0
17,1060,4.974701946841839
17,1203,4.7379588641024535
17,2019,4.715460393321043
17,1196,4.70847304693051
17,1204,4.688035991835837
17,2132,4.6853374571831266
17,1197,4.633407897295891
17,2318,4.582816275044005
17,308,4.558969211162352
17,48516,4.539668918575701
17,51540,4.537293713044561
17,1094,4.52977948367746
17,1264,4.528252172594719
17,4406,4.525970157979957
17,3359,4.520804110854913
17,2395,4.519938647925782
17,2289,4.518821906916955
17,926,4.517499170449444
17,1282,4.515019017846074
17,968,4.513966884250823
17,85,4.505515652036864
17,3022,4.502171426403794
17,551,4.492998155356356
17,899,4.4862762143898705
17,306,4.480008636891145
17,953,4.4719269914213795
17,1247,4.469062669562758
17,5010,4.461985095493377
17,3200,4.455192743324532
17,1201,4.442417421045469
17,1172,4.434271330375788
17,5618,4.431418570602947
17,3088,4.4248151157820095
17,745,4.417967802294804
17,1086,4.409307664787095
17,4007,4.398536565759634
17,76093,4.398011500663231
17,1254,4.39416835767507
17,162,4.391606955928745
18,318,4.434082612987955
18,1276,4.386188469153142
18,926,4.28097781671134
18,296,4.242614497200336
18,969,4.232988910307054
18,1203,4.221138664436469
18,2692,4.217989740181175
18,2318,4.209248158909886
18,2571,4.2036900217408775
18,2064,4.202719603255201
18,1172,4.183609476174396
18,3683,4.183209908261824
18,3435,4.182359087046721
18,3362,4.181168338924573
18,1217,4.155675944824999
18,1299,4.152897380250396
18,1221,4.150357264510605
18,1193,4.1470667140865345
18,50,4.1447457475360485
18,308,4.141001400090639
18,4226,4.137568173951524
18,1945,4.136190504952236
18,953,4.124920474498932
18,899,4.1247956406578075
18,2467,4.122342053613311
18,3462,4.1208068597454295
18,7153,4.116430229752859
18,5618,4.102574422569507
18,81932,4.101283849604408
18,293,4.097699102031035
18,8132,4.092491740446682
18,2132,4.091737255392293
18,908,4.086812060409293
18,1207,4.0819652892382585
18,5952,4.081364401946464
18,1247,4.079834257685649
18,1254,4.0759095616297145
18,1060,4.073853917345097
18,1197,4.073138972583725
18,4973,4.070669545676459
19,4993,4.558039698470156
19,905,4.482919193423566
19,2318,4.453230866564455
19,745,4.35275750728793
19,3088,4.341443599060113
19,899,4.327502938584688
19,1172,4.32686350307978
19,3462,4.3174804594284915
19,1945,4.297563520107719
19,3983,4.255540651501602
19,2692,4.253816590012067
19,3104,4.23476720887445
19,2359,4.233049654261891
19,3435,4.226382459294337
19,7502,4.22528695218743
19,2186,4.220919048212129
19,5618,4.217983148834826
19,2690,4.214977124536615
19,6016,4.207438418019664
19,994,4.20360925216255
19,2791,4.202570944014311
19,55052,4.199482496475852
19,2300,4.195793900632923
19,3000,4.194726587987969
19,2076,4.191732357725684
19,1939,4.188740909637312
19,3362,4.187382965186073
19,2959,4.185084902074882
19,1147,4.1845380249589414
19,1704,4.180280658867599
19,116797,4.1782783271246
19,2858,4.1741423211873805
19,26587,4.1733801182859676
19,3504,4.17152678823869
19,3363,4.16907128391966
19,175,4.168941929895665
19,2502,4.168781274498949
19,2064,4.165406094818242
19,2924,4.160985622049999
19,34542,4.159642289929004
20,2019,4.045280992930597
20,1192,4.044213345999601
20,4963,4.024120525077063
20,6016,4.003399486510137
20,1089,4.000310922706569
20,3983,3.9846919995256673
20,908,3.9662198200254335
20,4014,3.959063636532415
20,4263,3.9573201624655243
20,1193,3.949802847695161
20,1466,3.9399190799718
20,1060,3.9343748990527265
20,3429,3.927070751397708
20,969,3.9208975803460997
20,3000,3.9131595317886303
20,31658,3.91179963090621
20,3469,3.9056571812379106
20,7027,3.902176310150643
20,2542,3.899295143956091
20,534,3.8989778325503974
20,1945,3.889876580967608
20,68237,3.8829310795071255
20,86377,3.87291363798887
20,1209,3.868836791475663
20,4896,3.8672189926601277
20,81932,3.8665839162636795
20,953,3.8620140100227114
20,143257,3.861814245021869
20,923,3.858464380768679
20,741,3.8547264347350567
20,54286,3.852481960300387
20,116797,3.852071173525785
20,72226,3.85191212127732
20,95858,3.84710262723994
20,348,3.845383879793175
20,1227,3.843436191293667
20,1254,3.839297974760407
20,92259,3.8377689584350425
20,86882,3.8362512291085995
20,52435,3.8333055431781755
21,318,4.269349419522374
21,3462,4.260169008797776
21,926,4.213381320507383
21,2324,4.183417269994564
21,2762,4.175900728684919
21,922,4.157732870216182
21,78499,4.139864537408939
21,608,4.138266449706444
21,1172,4.135088812956841
21,1276,4.119433925050197
21,475,4.116047436230801
21,778,4.0979800332083
21,1299,4.087432597958226
21,7502,4.082230056480667
21,2329,4.076727192567251
21,1948,4.071039487269074
21,3362,4.069115191093604
21,2571,4.066749913293142
21,293,4.062107007425414
21,968,4.059528437145211
21,96079,4.054156330901153
21,31658,4.050614426457163
21,3088,4.043974594616954
21,68954,4.043418966250596
21,7153,4.038816619442447
21,3683,4.03798873602216
21,76093,4.037847453858499
21,2064,4.034279552214763
21,904,4.031868334546749
21,2132,4.03017317440839
21,2542,4.026471951670708
21,2318,4.023720837346144
21,898,4.0225191213109515
21,68157,4.022010901343921
21,8132,4.012761672639348
21,1204,4.011168757212862
21,7361,4.011155235135471
21,2917,4.00985023760005
21,1207,4.006514846070759
21,1247,4.006408356596596
22,1228,4.260738862498554
22,318,4.175186886309693
22,58559,4.135083340822778
22,1259,4.1252585012422
22,50,4.109743264497373
22,1213,4.109234293867335
22,608,4.102748164577259
22,778,4.099589342004753
22,1411,4.071307086087267
22,969,4.054375722179779
22,68237,4.052602519417569
22,1147,4.044932993951872
22,1299,4.040258374044512
22,2918,4.039068579313061
22,1203,4.018245807494839
22,308,4.011776835565145
22,2692,4.006580192165932
22,116797,4.001938816127999
22,926,3.9996165724131547
22,2028,3.9985918212112233
22,2329,3.9980908710108247
22,79132,3.992873524339663
22,916,3.9843693550428716
22,69481,3.979053340384444
22,527,3.9754117912490927
22,3476,3.9751673795415643
22,1254,3.972449475238415
22,1719,3.9601856173342993
22,46578,3.959985144078095
22,3030,3.958206780918318
22,78499,3.956926356901431
22,3088,3.9562765725587408
22,904,3.95572268850364
22,3462,3.9523379763485758
22,475,3.948405064383944
22,293,3.9461782516685866
22,1537,3.943929398976676
22,122900,3.9403879944500453
22,68358,3.9394775195269496
22,2971,3.939002337321011
23,720,4.4769488877797095
23,1147,4.40040713915237
23,48516,4.352107478932102
23,6350,4.34248048476001
23,2300,4.318997278464045
